epsilon_0,noise,mean tune error,std tune error
0.003,1,0.06018723242704127,0.01832703616947588
0.003,2,0.044279942062826226,0.008500984070456569
0.003,3,0.08125268664121517,0.013062193949956698
0.005,1,0.030531009286178985,0.0039697308189759065
0.005,2,0.11322796864265272,0.007215363136144603
0.005,3,0.22104585761798812,0.008942314778064352
0.007,1,0.12601005964811707,0.007765292698523306
0.007,2,0.3528735685134379,0.006836184482284186
0.007,3,0.4530039549295006,0.0010471843399170089
0.009,1,0.3138293818161964,0.00971666055281945
0.009,2,0.46213218131935635,0.007622141256076847
0.009,3,0.49404059347829055,0.000919577427368364
